herb,symptom,indication
214,115,1
33,31,1
305,151,1
646,16,0
307,124,1
10,51,1
221,172,1
274,86,0
345,51,1
275,75,0
699,60,1
544,126,0
664,99,1
340,140,0
185,55,0
353,38,1
30,51,1
397,146,0
631,72,0
18,71,0
79,93,0
718,23,0
674,53,0
671,27,0
244,67,1
372,152,0
500,114,0
114,166,0
745,67,1
614,26,0
411,33,1
22,151,1
322,127,0
186,98,1
161,132,0
122,87,0
459,76,0
499,33,1
391,128,0
782,51,1
591,151,1
230,105,0
719,99,1
447,124,1
262,13,0
187,5,0
553,51,1
323,45,1
1,139,0
43,51,1
201,51,1
205,99,1
445,124,1
299,115,1
782,99,1
61,152,0
759,55,0
301,162,1
108,89,0
86,99,1
721,33,1
13,6,0
691,171,0
700,33,1
277,51,1
802,54,0
388,58,0
86,67,1
86,6,1
134,32,1
777,44,0
550,25,0
353,29,0
572,65,0
308,33,1
763,37,0
123,51,1
173,31,0
192,60,1
453,99,1
779,151,0
695,17,0
43,97,1
700,148,0
545,111,0
652,105,0
720,113,0
444,51,1
468,81,0
269,99,1
57,6,1
104,90,0
11,30,0
244,45,1
119,51,1
750,115,1
506,67,0
27,85,0
519,14,1
120,99,1
664,143,0
660,31,0
48,160,0
135,39,0
25,63,0
108,86,0
119,33,1
84,162,1
397,58,0
779,119,0
739,42,0
546,63,1
449,100,0
135,6,1
238,135,1
18,33,1
575,0,0
247,99,1
735,60,1
796,148,1
780,61,0
32,33,1
596,119,0
81,30,0
517,45,1
217,99,1
637,169,0
783,45,1
182,53,0
536,99,1
785,135,0
254,169,0
18,51,1
522,99,1
169,128,0
699,60,1
734,43,0
696,96,0
134,172,1
94,54,0
73,53,0
386,149,0
493,51,1
637,85,0
234,51,1
415,142,0
447,162,1
340,99,1
478,51,1
424,33,1
192,99,1
74,99,1
43,33,1
592,68,0
170,67,0
518,51,1
137,38,1
10,6,1
713,51,1
244,51,1
263,30,0
297,51,1
641,77,0
591,63,1
536,31,1
167,45,1
2,67,1
755,51,1
478,20,0
672,6,1
418,70,0
84,7,0
323,6,1
401,19,0
449,99,1
116,23,0
540,84,0
30,91,0
45,104,0
208,99,1
4,20,0
351,99,1
164,45,1
505,25,0
647,151,0
25,51,1
691,149,0
601,69,0
319,99,1
421,99,1
56,72,0
331,29,1
598,162,1
336,99,1
458,158,0
653,17,0
168,99,1
278,171,0
173,77,0
240,14,0
350,150,0
701,14,0
227,51,1
445,51,1
36,155,0
229,38,1
605,156,0
120,6,1
333,51,1
637,39,0
612,99,1
593,115,0
596,68,0
63,99,1
329,62,0
323,160,0
47,172,1
177,56,0
183,60,0
200,33,1
271,115,1
421,73,0
399,109,0
786,97,1
16,8,1
304,38,1
567,26,0
171,133,0
278,51,1
752,151,1
561,107,0
644,6,1
629,132,0
243,6,1
140,56,0
123,124,1
348,51,1
204,46,0
199,7,0
60,33,1
249,162,1
590,153,0
644,99,1
299,164,0
253,168,0
694,51,1
290,51,1
156,144,0
620,60,0
339,51,1
135,70,0
54,135,0
309,172,0
302,128,1
570,97,0
443,124,0
779,99,1
672,162,1
791,53,0
562,67,1
99,33,1
68,89,0
771,135,0
200,135,1
673,19,0
753,151,0
45,114,0
285,40,0
265,78,0
752,45,0
150,29,1
307,99,1
630,19,0
721,115,1
155,99,1
427,50,0
710,51,1
291,105,0
222,60,1
315,0,0
754,45,1
636,99,1
542,151,1
524,162,0
792,151,1
384,36,0
585,99,1
633,48,0
484,64,0
222,99,1
432,105,0
709,6,1
552,156,1
60,164,0
65,6,1
269,51,1
704,51,1
735,99,1
758,51,1
353,115,1
50,169,0
436,99,1
370,45,1
517,51,1
234,153,0
667,112,0
325,99,1
138,99,0
291,51,1
736,69,0
149,99,1
277,106,0
247,89,0
411,97,0
761,161,0
269,64,0
591,53,0
447,33,1
770,115,1
689,99,1
10,4,0
666,98,1
357,59,1
685,49,0
179,67,0
11,33,1
206,6,1
285,31,1
209,38,1
646,94,0
85,99,1
621,19,0
470,21,0
399,51,1
421,98,1
536,1,1
536,73,1
202,33,1
474,3,0
794,171,0
602,99,1
540,128,1
699,99,1
143,45,1
558,71,1
152,51,1
715,122,0
260,45,1
497,139,0
250,45,1
755,144,0
702,67,1
28,153,0
502,10,0
104,32,1
180,89,0
341,125,0
141,32,0
533,32,1
154,115,1
1,67,0
14,11,0
1,168,0
714,124,1
735,51,1
15,93,0
481,59,0
636,172,1
110,50,0
549,8,1
584,135,1
724,123,0
540,13,0
612,9,0
94,61,0
736,172,1
43,151,1
591,60,1
678,51,1
508,70,0
217,127,0
596,26,0
469,99,1
409,168,0
755,113,0
150,51,1
796,162,1
478,73,1
