herb,symptom,indication
214,115,1
33,31,1
207,45,0
305,151,1
646,16,0
307,124,1
563,76,0
10,51,1
221,172,1
274,86,0
345,51,1
275,75,0
544,126,0
664,99,1
536,8,1
340,140,0
777,170,0
600,98,1
185,55,0
353,38,1
786,171,1
30,51,1
397,146,0
631,72,0
708,120,0
18,71,0
79,93,0
246,98,0
718,23,0
671,27,0
244,67,1
500,114,0
114,166,0
745,67,1
186,67,1
614,26,0
208,22,0
411,33,1
200,14,1
322,127,0
459,76,0
499,33,1
391,128,0
782,51,1
591,151,1
230,105,0
719,99,1
262,13,0
359,28,0
187,5,0
323,45,1
1,139,0
43,51,1
201,51,1
205,99,1
445,124,1
299,115,1
782,99,1
759,55,0
108,89,0
13,6,0
797,173,0
700,33,1
319,51,1
277,51,1
802,54,0
388,58,0
86,67,1
581,162,1
86,6,1
134,32,1
777,44,0
550,25,0
353,29,0
572,65,0
308,33,1
763,37,0
123,51,1
583,22,0
173,31,0
192,60,1
779,151,0
695,17,0
700,148,0
545,111,0
122,33,1
468,81,0
269,99,1
477,17,0
104,90,0
11,30,0
244,45,1
119,51,1
27,85,0
120,99,1
664,143,0
660,31,0
48,160,0
135,39,0
25,63,0
108,86,0
119,33,1
84,162,1
792,134,1
41,107,0
397,58,0
442,60,0
546,63,1
449,100,0
135,6,1
238,135,1
18,33,1
575,0,0
247,99,1
735,60,1
629,130,1
134,134,1
531,99,1
780,61,0
600,10,0
591,134,1
98,74,0
596,119,0
81,30,0
517,45,1
81,162,1
217,99,1
783,45,1
182,53,0
536,99,1
785,135,0
254,169,0
217,76,0
18,51,1
590,158,0
169,128,0
532,11,0
734,43,0
696,96,0
94,54,0
73,53,0
381,51,1
637,85,0
492,143,0
702,51,1
415,142,0
478,51,1
192,99,1
74,99,1
592,68,0
170,67,0
518,51,1
137,38,1
10,6,1
244,51,1
263,30,0
297,51,1
641,77,0
591,63,1
536,31,1
167,45,1
2,67,1
478,20,0
672,6,1
84,7,0
380,141,0
401,19,0
449,99,1
116,23,0
540,84,0
30,91,0
45,104,0
208,99,1
351,99,1
691,149,0
601,69,0
319,99,1
421,99,1
56,72,0
598,162,1
336,99,1
458,158,0
653,17,0
168,99,1
278,171,0
43,134,1
240,14,0
28,45,1
701,14,0
445,51,1
226,134,1
205,131,0
796,98,1
605,156,0
120,6,1
333,51,1
637,39,0
612,99,1
593,115,0
329,62,0
323,160,0
47,172,1
525,153,0
271,115,1
421,73,0
786,97,1
16,8,1
192,33,1
567,26,0
562,52,0
278,51,1
561,107,0
644,6,1
629,132,0
243,6,1
788,119,0
123,124,1
348,51,1
199,7,0
60,33,1
249,162,1
512,51,0
590,153,0
364,162,1
644,99,1
670,134,1
253,168,0
290,51,1
156,144,0
620,60,0
339,51,1
135,70,0
287,31,0
302,128,1
570,97,0
443,124,0
474,71,0
15,31,1
791,53,0
562,67,1
99,33,1
68,89,0
771,135,0
200,135,1
677,117,0
673,19,0
753,151,0
45,114,0
285,40,0
265,78,0
484,170,1
521,165,0
629,33,1
367,134,1
769,172,1
307,99,1
155,99,1
427,50,0
348,63,1
222,60,1
250,134,1
667,170,0
122,51,1
315,0,0
636,99,1
542,151,1
446,99,1
524,162,0
597,87,0
792,151,1
384,36,0
633,48,0
484,64,0
222,99,1
432,105,0
793,138,0
552,156,1
60,164,0
65,6,1
269,51,1
203,33,1
735,99,1
758,51,1
353,115,1
517,51,1
667,112,0
325,99,1
138,99,0
387,153,0
291,51,1
736,69,0
136,130,1
149,99,1
721,42,1
625,2,0
277,106,0
247,89,0
674,1,1
269,64,0
677,134,1
591,53,0
770,115,1
689,99,1
10,4,0
666,98,1
357,59,1
685,49,0
179,67,0
11,33,1
206,6,1
759,83,0
285,31,1
209,38,1
646,94,0
576,134,1
621,19,0
578,99,1
399,51,1
421,98,1
536,1,1
536,73,1
202,33,1
474,3,0
794,171,0
769,142,0
602,99,1
540,128,1
143,45,1
152,51,1
715,122,0
260,45,1
664,134,1
147,105,0
28,153,0
502,10,0
381,115,1
180,89,0
341,125,0
458,129,0
141,32,0
1,67,0
14,11,0
1,168,0
2,138,0
714,124,1
125,151,0
735,51,1
15,93,0
481,59,0
110,50,0
552,59,1
43,63,1
540,13,0
452,130,1
612,9,0
787,91,0
43,151,1
591,60,1
678,51,1
508,70,0
174,130,1
596,26,0
469,99,1
123,17,0
409,168,0
769,134,1
796,162,1
10,122,0
374,138,0
427,1,0
642,114,0
48,67,0
49,172,1
325,131,0
376,99,1
21,80,0
337,99,1
41,92,0
763,27,0
11,51,1
792,119,0
52,6,1
152,165,0
121,166,0
560,6,1
783,139,0
33,124,1
416,6,1
