herb,symptom,indication
214,115,1
33,31,1
305,151,1
646,16,0
307,124,1
10,51,1
221,172,1
274,86,0
345,51,1
275,75,0
544,126,0
664,99,1
536,8,1
777,170,0
185,55,0
353,38,1
786,171,1
30,51,1
397,146,0
631,72,0
708,120,0
18,71,0
246,98,0
236,172,1
674,53,0
94,11,0
244,67,1
500,114,0
114,166,0
745,67,1
614,26,0
411,33,1
322,127,0
186,98,1
122,87,0
459,76,0
499,33,1
391,128,0
782,51,1
591,151,1
230,105,0
250,60,1
719,99,1
187,5,0
553,51,1
576,14,1
1,139,0
43,51,1
205,99,1
445,124,1
299,115,1
782,99,1
759,55,0
228,64,0
108,89,0
86,99,1
721,33,1
13,6,0
691,171,0
700,33,1
319,51,1
277,51,1
802,54,0
388,58,0
86,67,1
581,162,1
134,32,1
777,44,0
550,25,0
353,29,0
308,33,1
763,37,0
123,51,1
583,22,0
192,60,1
561,3,1
779,151,0
695,17,0
43,97,1
700,148,0
545,111,0
122,33,1
210,138,0
269,99,1
477,17,0
57,6,1
104,90,0
11,30,0
119,51,1
506,67,0
27,85,0
519,14,1
120,99,1
660,31,0
48,160,0
135,39,0
25,63,0
108,86,0
119,33,1
84,162,1
792,134,1
41,107,0
397,58,0
779,119,0
442,60,0
449,100,0
135,6,1
238,135,1
18,33,1
575,0,0
247,99,1
735,60,1
678,135,0
796,148,1
134,134,1
531,99,1
780,61,0
600,10,0
32,33,1
591,134,1
98,74,0
596,119,0
517,45,1
637,169,0
182,53,0
536,99,1
785,135,0
254,169,0
18,51,1
522,99,1
590,158,0
532,11,0
734,43,0
696,96,0
134,172,1
73,53,0
381,51,1
234,51,1
345,134,1
702,51,1
415,142,0
340,99,1
478,51,1
424,33,1
74,99,1
437,39,0
43,33,1
592,68,0
137,38,1
10,6,1
244,51,1
263,30,0
56,103,0
641,77,0
591,63,1
167,45,1
2,67,1
755,51,1
478,20,0
526,119,0
672,6,1
84,7,0
323,6,1
380,141,0
401,19,0
449,99,1
116,23,0
540,84,0
30,91,0
45,104,0
208,99,1
4,20,0
505,25,0
647,151,0
25,51,1
691,149,0
319,99,1
421,99,1
56,72,0
331,29,1
598,162,1
336,99,1
290,99,1
458,158,0
653,17,0
168,99,1
278,171,0
173,77,0
43,134,1
240,14,0
700,99,1
28,45,1
350,150,0
701,14,0
227,51,1
445,51,1
226,134,1
36,155,0
796,98,1
229,38,1
605,156,0
120,6,1
333,51,1
593,115,0
596,68,0
63,99,1
329,62,0
323,160,0
177,56,0
183,60,0
525,153,0
200,33,1
271,115,1
421,73,0
399,109,0
786,97,1
517,99,1
16,8,1
304,38,1
192,33,1
567,26,0
562,52,0
561,107,0
644,6,1
629,132,0
243,6,1
140,56,0
123,124,1
348,51,1
60,33,1
249,162,1
590,153,0
364,162,1
644,99,1
670,134,1
299,164,0
253,168,0
290,51,1
620,60,0
339,51,1
135,70,0
54,135,0
287,31,0
309,172,0
570,97,0
474,71,0
779,99,1
15,31,1
672,162,1
791,53,0
562,67,1
99,33,1
68,89,0
771,135,0
200,135,1
673,19,0
753,151,0
45,114,0
285,40,0
484,170,1
629,33,1
367,134,1
150,29,1
769,172,1
307,99,1
721,115,1
155,99,1
427,50,0
710,51,1
291,105,0
348,63,1
207,38,0
222,60,1
122,51,1
636,99,1
542,151,1
217,134,1
446,99,1
597,87,0
792,151,1
384,36,0
222,99,1
793,138,0
552,156,1
60,164,0
65,6,1
704,51,1
735,99,1
758,51,1
353,115,1
209,115,1
234,153,0
667,112,0
325,99,1
138,99,0
387,153,0
291,51,1
736,69,0
136,130,1
149,99,1
625,2,0
277,106,0
247,89,0
411,97,0
761,161,0
674,1,1
591,53,0
770,115,1
689,99,1
10,4,0
357,59,1
685,49,0
179,67,0
206,6,1
759,83,0
285,31,1
209,38,1
576,134,1
85,99,1
621,19,0
578,99,1
399,51,1
421,98,1
536,1,1
698,138,0
536,73,1
202,33,1
474,3,0
794,171,0
602,99,1
540,128,1
143,45,1
558,71,1
152,51,1
715,122,0
664,134,1
250,45,1
755,144,0
147,105,0
94,130,0
702,67,1
28,153,0
104,32,1
381,115,1
180,89,0
341,125,0
458,129,0
141,32,0
533,32,1
1,67,0
586,134,1
14,11,0
1,168,0
714,124,1
125,151,0
15,93,0
653,138,0
636,172,1
788,128,0
110,50,0
549,8,1
584,135,1
552,59,1
43,63,1
357,151,1
540,13,0
94,61,0
787,91,0
736,172,1
43,151,1
678,51,1
508,70,0
217,127,0
596,26,0
409,168,0
755,113,0
150,51,1
769,134,1
796,162,1
478,73,1
557,99,1
10,122,0
351,51,1
774,103,0
427,1,0
642,114,0
49,172,1
325,131,0
